Color Name,HEX Code,Description,Emotion,Personality,Mood,Symbolism,Use Case,Keywords,combined_text
#DA6030 (Orange-Brown),#DA6300,"A warm, vibrant shade of orange with a hint of brown.","Warmth, Energy, Friendliness","Outgoing, Vibrant, Confident","Energetic, Inviting, Bold","Sunset, Fall Season, Harvest, Courage, Determination","Logos, Branding, Packaging, Marketing Materials for Energy Drinks, Autumn-themed Designs.","Warm, Vibrant, Bold, Energetic, Inviting, Fall, Autumn, Sunset, Harvest, Courage, Determination.","A warm, vibrant shade of orange with a hint of brown. Warmth, Energy, Friendliness Outgoing, Vibrant, Confident Energetic, Inviting, Bold Sunset, Fall Season, Harvest, Courage, Determination Logos, Branding, Packaging, Marketing Materials for Energy Drinks, Autumn-themed Designs. Warm, Vibrant, Bold, Energetic, Inviting, Fall, Autumn, Sunset, Harvest, Courage, Determination."
Burnt Sienna,#AF573A,"A vibrant, deep, reddish-brown hue.","Warmth, Passion, Energy","Determined, Resilient, Adventurous","Rustic, Rich, Intense","Strength, Courage, Harvest","Ideal for creating an earthy, warm and inviting atmosphere in interior design or branding.","Brown, Orange, Warm, Vibrant, Deep, Intense, Rustic, Earthy, Strength, Courage, Harvest","A vibrant, deep, reddish-brown hue. Warmth, Passion, Energy Determined, Resilient, Adventurous Rustic, Rich, Intense Strength, Courage, Harvest Ideal for creating an earthy, warm and inviting atmosphere in interior design or branding. Brown, Orange, Warm, Vibrant, Deep, Intense, Rustic, Earthy, Strength, Courage, Harvest"
Platinum Lilac,#B6BDAE,"A cool, soft shade of lilac.",Tranquility,Graceful and calming,Serene and peaceful,"Innocence, spirituality, and sophistication",Ideal for creating a relaxing environment or to add a touch of elegance to designs.,"Pastel, Cool, Lilac, Tranquil, Calming, Sophisticated, Serene, Spiritual, Graceful, Innocent","A cool, soft shade of lilac. Tranquility Graceful and calming Serene and peaceful Innocence, spirituality, and sophistication Ideal for creating a relaxing environment or to add a touch of elegance to designs. Pastel, Cool, Lilac, Tranquil, Calming, Sophisticated, Serene, Spiritual, Graceful, Innocent"
Maroon 5,#5F001A,"A deep, rich and intense reddish-purple color.","Powerful, strong, passionate, dramatic","Sturdy, reliable, traditional, mysterious","Warm, inviting, cozy, bold","Strength, power, sacrifice, courage","Ideal for accenting bold designs, creating a warm and intimate atmosphere, or representing luxury and elegance.","Deep, rich, intense, bold, warm, luxurious, traditional.","A deep, rich and intense reddish-purple color. Powerful, strong, passionate, dramatic Sturdy, reliable, traditional, mysterious Warm, inviting, cozy, bold Strength, power, sacrifice, courage Ideal for accenting bold designs, creating a warm and intimate atmosphere, or representing luxury and elegance. Deep, rich, intense, bold, warm, luxurious, traditional."
MediumCyan (#3D3AF0),#3D3AF0,"A vibrant, medium shade of cyan.","Vibrant, energetic","Bold and dynamic, always standing out.","Lively, playful","It may symbolize innovation, technology, or the internet due to its association with digital media.","Ideal for highlighting important elements in digital designs, such as logos, headlines, or buttons.","Vibrant, Digital, Technology, Highlight, Cyan.","A vibrant, medium shade of cyan. Vibrant, energetic Bold and dynamic, always standing out. Lively, playful It may symbolize innovation, technology, or the internet due to its association with digital media. Ideal for highlighting important elements in digital designs, such as logos, headlines, or buttons. Vibrant, Digital, Technology, Highlight, Cyan."
Plum Wine,#DF6073,"A rich, deep shade of purple with undertones of red.","Passionate, Intense","Mysterious, Dramatic","Dark, Romantic","Wisdom, Creativity, Spirituality","Ideal for dramatic accents in designs, such as a bold logo or headline.","Rich, Deep, Warm, Passionate, Dramatic, Mysterious, Spiritual, Romantic, Creative","A rich, deep shade of purple with undertones of red. Passionate, Intense Mysterious, Dramatic Dark, Romantic Wisdom, Creativity, Spirituality Ideal for dramatic accents in designs, such as a bold logo or headline. Rich, Deep, Warm, Passionate, Dramatic, Mysterious, Spiritual, Romantic, Creative"
Burnt Sienna,#E86D19,"A deep, fiery orange-brown hue.","Warmth, Energy, Passion","Vibrant, Bold, Confident","Radiant, Spirited, Invigorating","Represents the earthy and grounded energy of the sun and fire. May symbolize strength, warmth, and vitality.","Ideal for creating eye-catching logos, branding elements, or warm, inviting backgrounds in graphic design.","Warm, Bright, Vibrant, Earthy, Bold","A deep, fiery orange-brown hue. Warmth, Energy, Passion Vibrant, Bold, Confident Radiant, Spirited, Invigorating Represents the earthy and grounded energy of the sun and fire. May symbolize strength, warmth, and vitality. Ideal for creating eye-catching logos, branding elements, or warm, inviting backgrounds in graphic design. Warm, Bright, Vibrant, Earthy, Bold"
Deep Raspberry,#C23A56,"A rich, dark red with a hint of purple.","Passionate, Dramatic","Bold, Fierce","Energetic, Intense","Can represent strong emotions, luxury, or power.","Ideal for headlines, logos, and design elements that need to stand out.","Vibrant, Deep, Raspberry, Red, Purple, Intense, Bold, Luxury, Power.","A rich, dark red with a hint of purple. Passionate, Dramatic Bold, Fierce Energetic, Intense Can represent strong emotions, luxury, or power. Ideal for headlines, logos, and design elements that need to stand out. Vibrant, Deep, Raspberry, Red, Purple, Intense, Bold, Luxury, Power."
Lime Green,#6CC701,A lively and energetic shade of green.,"Excitement, Enthusiasm","Spirited, Adventurous","Joyful, Invigorating","Renewal, Growth, Good Fortune","Ideal for branding related to nature, technology, and youth culture.","Fresh, Vibrant, Lively, Green, Bright, Youthful, Energy, Nature, Technology, Positive.","A lively and energetic shade of green. Excitement, Enthusiasm Spirited, Adventurous Joyful, Invigorating Renewal, Growth, Good Fortune Ideal for branding related to nature, technology, and youth culture. Fresh, Vibrant, Lively, Green, Bright, Youthful, Energy, Nature, Technology, Positive."
Deep Purple,#6A5874,A deep shade of purple with a hint of red.,"Mysterious, Elegant","A thoughtful, enigmatic character.","Sensual, Intimate","It may symbolize luxury, royalty, and spirituality.","Ideal for sophisticated designs, night-time themes, or elegant events.","Rich, Deep, Purple, Mysterious, Elegant","A deep shade of purple with a hint of red. Mysterious, Elegant A thoughtful, enigmatic character. Sensual, Intimate It may symbolize luxury, royalty, and spirituality. Ideal for sophisticated designs, night-time themes, or elegant events. Rich, Deep, Purple, Mysterious, Elegant"
Wine Red or Burgundy,#B4046D,"A rich, intense, and slightly darkened red.","Passionate, Dramatic, Intense","Bold, Majestic, Luxurious","Elegant, Powerful, Sophisticated","Wealth, Ambition, Love, Seduction, Mystery","Ideal for luxury branding, formal events, and romantic design elements.","Deep, Intense, Rich, Warm, Luxurious, Formal, Passionate, Romantic, Elegant.","A rich, intense, and slightly darkened red. Passionate, Dramatic, Intense Bold, Majestic, Luxurious Elegant, Powerful, Sophisticated Wealth, Ambition, Love, Seduction, Mystery Ideal for luxury branding, formal events, and romantic design elements. Deep, Intense, Rich, Warm, Luxurious, Formal, Passionate, Romantic, Elegant."
Maroon,#BA2137,"A deep, rich shade of red with a significant amount of black.","Passionate, intense, dramatic","Bold, strong-willed, determined","Intense, powerful, emotional","Strength, courage, sophistication","Ideal for branding and design elements where a strong, bold statement is needed.","Strong, deep, rich, intense, dramatic, maroon, red-based, dark.","A deep, rich shade of red with a significant amount of black. Passionate, intense, dramatic Bold, strong-willed, determined Intense, powerful, emotional Strength, courage, sophistication Ideal for branding and design elements where a strong, bold statement is needed. Strong, deep, rich, intense, dramatic, maroon, red-based, dark."
Purple-Red (Raspberry),#B31EDB,A captivating blend of red and purple.,"Passionate, Dramatic","Bold, Charismatic","Exciting, Intense","Represents royalty, luxury, power, creativity, and love.","Ideal for fashion, cosmetics, and branding in the tech industry.","Vibrant, Royal, Passionate, Luxurious, Creative, Dramatic","A captivating blend of red and purple. Passionate, Dramatic Bold, Charismatic Exciting, Intense Represents royalty, luxury, power, creativity, and love. Ideal for fashion, cosmetics, and branding in the tech industry. Vibrant, Royal, Passionate, Luxurious, Creative, Dramatic"
Lime Green,#39D62E,A vibrant and energetic shade of green.,"Exciting, Fresh, Invigorating","Optimistic, Vital, Radiant","Playful, Energetic","Growth, Nature, Prosperity","Ideal for design elements that need to stand out and draw attention, such as logos, call-to-action buttons, or promotional materials.","Vibrant, Bright, Lime, Green, Fresh, Invigorating, Optimistic, Prosperous, Nature, Growth, Playful, Energetic","A vibrant and energetic shade of green. Exciting, Fresh, Invigorating Optimistic, Vital, Radiant Playful, Energetic Growth, Nature, Prosperity Ideal for design elements that need to stand out and draw attention, such as logos, call-to-action buttons, or promotional materials. Vibrant, Bright, Lime, Green, Fresh, Invigorating, Optimistic, Prosperous, Nature, Growth, Playful, Energetic"
Indigo Deep Purple,#705573,"A rich, dark, and elegant shade of indigo with a hint of purple.","Mysterious, Intense","Secretive, Introspective","Dramatic, Majestic","Represents spirituality, wisdom, and the unknown.","Ideal for formal events, luxury branding, and as a primary color in minimalistic designs.","Deep, Elegant, Mysterious, Spiritual, Luxury","A rich, dark, and elegant shade of indigo with a hint of purple. Mysterious, Intense Secretive, Introspective Dramatic, Majestic Represents spirituality, wisdom, and the unknown. Ideal for formal events, luxury branding, and as a primary color in minimalistic designs. Deep, Elegant, Mysterious, Spiritual, Luxury"
Burnt Sienna,#93792B,"A rich, warm brown with a hint of orange.","Warmth, comfort, nostalgia","Sturdy, reliable, traditional","Cozy, inviting, rustic","Rootedness, strength, courage",Ideal for creating a warm and inviting atmosphere in interiors or for designing vintage-inspired graphics.,"Warm, brown, earthy, rich, vintage, rustic, cozy, nostalgic, traditional, strong, rooted, courage.","A rich, warm brown with a hint of orange. Warmth, comfort, nostalgia Sturdy, reliable, traditional Cozy, inviting, rustic Rootedness, strength, courage Ideal for creating a warm and inviting atmosphere in interiors or for designing vintage-inspired graphics. Warm, brown, earthy, rich, vintage, rustic, cozy, nostalgic, traditional, strong, rooted, courage."
Wisteria,#C93DBD,A captivating shade between red and violet.,"Romantic, Dreamy","Mysterious, Delicate","Ethereal, Whimsical","Can represent love, luxury, and creativity.","Ideal for romantic design elements, such as wedding invitations or fashion accessories.","Pastel, Romantic, Dreamy, Mysterious, Luxurious, Creative.","A captivating shade between red and violet. Romantic, Dreamy Mysterious, Delicate Ethereal, Whimsical Can represent love, luxury, and creativity. Ideal for romantic design elements, such as wedding invitations or fashion accessories. Pastel, Romantic, Dreamy, Mysterious, Luxurious, Creative."
#190CEA (Hexadecimal) or Medium Cobalt Blue (Pantone Matching System),#190CEA,A striking and vibrant shade of mid-toned cobalt blue.,"Vibrant, Bold, Creative","Confident, Expressive, Innovative","Energetic, Exciting, Youthful","It may symbolize technology, creativity, and innovation due to its association with digital platforms and modern design trends.","Ideal for digital interfaces, branding for tech companies, youth-oriented products or services, and fashion.","Digital, Technology, Creative, Innovative, Bold, Vibrant, Exciting, Youthful, Cobalt Blue.","A striking and vibrant shade of mid-toned cobalt blue. Vibrant, Bold, Creative Confident, Expressive, Innovative Energetic, Exciting, Youthful It may symbolize technology, creativity, and innovation due to its association with digital platforms and modern design trends. Ideal for digital interfaces, branding for tech companies, youth-oriented products or services, and fashion. Digital, Technology, Creative, Innovative, Bold, Vibrant, Exciting, Youthful, Cobalt Blue."
Sage Green,#83AD0F,"A calming, light green shade with a hint of yellow.","Peaceful, Relaxed","Trustworthy, Nurturing","Serene, Comfortable","Growth, Harmony, Renewal","Ideal for creating soothing and natural environments, such as in home decor, nature-themed designs, or eco-friendly branding.","Pastel, Natural, Soothing, Calming, Peaceful, Green, Relaxed, Trustworthy, Nurturing, Serene, Comfortable, Growth, Harmony, Renewal, Eco-Friendly.","A calming, light green shade with a hint of yellow. Peaceful, Relaxed Trustworthy, Nurturing Serene, Comfortable Growth, Harmony, Renewal Ideal for creating soothing and natural environments, such as in home decor, nature-themed designs, or eco-friendly branding. Pastel, Natural, Soothing, Calming, Peaceful, Green, Relaxed, Trustworthy, Nurturing, Serene, Comfortable, Growth, Harmony, Renewal, Eco-Friendly."
Green (Shaded Emerald),#72FF76,A bright and lively shade of green with a touch of blue.,"Excitement, Happiness","Energetic, Radiant","Youthful, Lively","Growth, Freshness, Renewal","Ideal for designs that need to stand out, such as logos, posters, and websites.","Bright, Vibrant, Green, Shaded Emerald, Lively, Exciting, Fresh, Youthful, Growth","A bright and lively shade of green with a touch of blue. Excitement, Happiness Energetic, Radiant Youthful, Lively Growth, Freshness, Renewal Ideal for designs that need to stand out, such as logos, posters, and websites. Bright, Vibrant, Green, Shaded Emerald, Lively, Exciting, Fresh, Youthful, Growth"
Dark Olive Green,#6F7944,"A deep, rich olive green.","Calmness, Stability, Comfort","Reliable, Earthy, Grounded","Warm and soothing, earthy vibe","Growth, harvest, nature, tranquility","Ideal for natural and organic designs, earth tones palettes, or as a neutral base color.","Green, Olive, Earthy, Natural, Calm, Stability, Reliable, Grounded, Warm, Soothing, Earth Tone, Neutral, Base Color, Nature, Tranquility, Harvest.","A deep, rich olive green. Calmness, Stability, Comfort Reliable, Earthy, Grounded Warm and soothing, earthy vibe Growth, harvest, nature, tranquility Ideal for natural and organic designs, earth tones palettes, or as a neutral base color. Green, Olive, Earthy, Natural, Calm, Stability, Reliable, Grounded, Warm, Soothing, Earth Tone, Neutral, Base Color, Nature, Tranquility, Harvest."
Green Yellow,#81F925,"A vibrant, lime-tinted green.","Energy, Vitality","Optimistic, Energetic","Fresh, Radiant","Growth, Renewal, Enlightenment","Ideal for branding related to technology, sustainability, or youth-oriented products.","Vibrant, Lime, Pristine, Eco-friendly, Youthful","A vibrant, lime-tinted green. Energy, Vitality Optimistic, Energetic Fresh, Radiant Growth, Renewal, Enlightenment Ideal for branding related to technology, sustainability, or youth-oriented products. Vibrant, Lime, Pristine, Eco-friendly, Youthful"
Sea Green,#8CD794,A refreshing and lively shade of sea green.,"Calm, fresh, invigorating","Relaxed, friendly, optimistic","Tranquil, vibrant, revitalizing","Represents nature, growth, harmony, and tranquility. It may also symbolize prosperity and good fortune in some cultures.","Ideal for creating a relaxing and refreshing atmosphere in spaces such as waiting rooms, spas, or offices that seek to promote calmness and productivity.","Nature, Calm, Fresh, Vibrant, Tranquil, Prosperity","A refreshing and lively shade of sea green. Calm, fresh, invigorating Relaxed, friendly, optimistic Tranquil, vibrant, revitalizing Represents nature, growth, harmony, and tranquility. It may also symbolize prosperity and good fortune in some cultures. Ideal for creating a relaxing and refreshing atmosphere in spaces such as waiting rooms, spas, or offices that seek to promote calmness and productivity. Nature, Calm, Fresh, Vibrant, Tranquil, Prosperity"
Verdigris Green,#99ED40,"A vibrant, lime-yellowish green shade.","Energetic, Vitality","Optimistic, Radiant","Fresh, Invigorating","Growth, Renewal, Energy","Ideal for graphic design elements, branding, and web interfaces that seek to evoke feelings of freshness, energy, or growth.","Vibrant, Lively, Enlivening, Invigorating, Fresh, Youthful, Energetic, Optimistic, Growth, Renewal.","A vibrant, lime-yellowish green shade. Energetic, Vitality Optimistic, Radiant Fresh, Invigorating Growth, Renewal, Energy Ideal for graphic design elements, branding, and web interfaces that seek to evoke feelings of freshness, energy, or growth. Vibrant, Lively, Enlivening, Invigorating, Fresh, Youthful, Energetic, Optimistic, Growth, Renewal."
Sage Green,#085B02,"A refreshing, earthy shade of green.",Calmness and Relaxation,"Grounded, natural, stable","Serene, peaceful, tranquil","Growth, renewal, nature, harmony, balance","Ideal for rooms that need a calming effect, such as bedrooms or living spaces. Can also be used in branding for eco-friendly or sustainable companies.","Natural, calm, earthy, green, soothing","A refreshing, earthy shade of green. Calmness and Relaxation Grounded, natural, stable Serene, peaceful, tranquil Growth, renewal, nature, harmony, balance Ideal for rooms that need a calming effect, such as bedrooms or living spaces. Can also be used in branding for eco-friendly or sustainable companies. Natural, calm, earthy, green, soothing"
Scarlet Red,#EF4244,"A vibrant, intense shade of red.","Passion, Energy","Bold, Dramatic","Exciting, Energetic","Love, Courage, Warning",Ideal for call-to-action buttons and warning signs.,"Intense, Vibrant, Bright, Passionate, Bold, Dramatic, Love, Courage, Warning","A vibrant, intense shade of red. Passion, Energy Bold, Dramatic Exciting, Energetic Love, Courage, Warning Ideal for call-to-action buttons and warning signs. Intense, Vibrant, Bright, Passionate, Bold, Dramatic, Love, Courage, Warning"
Goldenrod,#EBA934,"A deep, earthy shade of orange.","Warmth, Vitality","Wise, Vibrant","Sunny, Inviting","Represents change, transition, and harvest.","Ideal for autumn or tropical designs, also used in food and beverage branding.","Earthy, Vital, Harvest, Sunny, Tropical, Wise.","A deep, earthy shade of orange. Warmth, Vitality Wise, Vibrant Sunny, Inviting Represents change, transition, and harvest. Ideal for autumn or tropical designs, also used in food and beverage branding. Earthy, Vital, Harvest, Sunny, Tropical, Wise."
Sage Green #51E73E,#51E73E,Vibrant and lively shade of Sage Green.,"Freshness, Growth, Renewal","Wisdom, Calm, Nurturing","Serene, Optimistic","Harmony with nature, abundance, balance, and prosperity.","Ideal for modern interiors, graphic design projects, and branding in tech, eco-friendly, or youthful industries.","Vibrant, Modern, Fresh, Calm, Nature, Technology, Youthful, Prosperous, Balanced","Vibrant and lively shade of Sage Green. Freshness, Growth, Renewal Wisdom, Calm, Nurturing Serene, Optimistic Harmony with nature, abundance, balance, and prosperity. Ideal for modern interiors, graphic design projects, and branding in tech, eco-friendly, or youthful industries. Vibrant, Modern, Fresh, Calm, Nature, Technology, Youthful, Prosperous, Balanced"
Sage Green,#B4C454,"A subtle, muted green shade.","Calm, serene, relaxed","Thoughtful, wise, tranquil","Natural, refreshing, peaceful","Growth, harmony, balance in nature",Ideal for creating a calming and natural ambiance in living spaces or as a soothing color choice for branding that aims to convey a sense of tranquility and trust.,"pastel green, muted, earthy, serene, nature-inspired, soothing, calming, grounding, balanced.","A subtle, muted green shade. Calm, serene, relaxed Thoughtful, wise, tranquil Natural, refreshing, peaceful Growth, harmony, balance in nature Ideal for creating a calming and natural ambiance in living spaces or as a soothing color choice for branding that aims to convey a sense of tranquility and trust. pastel green, muted, earthy, serene, nature-inspired, soothing, calming, grounding, balanced."
Saddle Brown,#846A23,"A rich, warm earthy brown shade.","Warmth, Comfort, Rusticity","Reliable, Sturdy, Authentic","Cozy, Rugged, Timeless","Groundedness, Stability, Connection to Nature","Ideal for creating rustic designs, outdoor themes, or as a neutral base color in interior design.","Brown, Earthy, Warm, Rustic, Cozy, Neutral, Timeless, Authentic, Nature, Stable, Reliable, Grounded.","A rich, warm earthy brown shade. Warmth, Comfort, Rusticity Reliable, Sturdy, Authentic Cozy, Rugged, Timeless Groundedness, Stability, Connection to Nature Ideal for creating rustic designs, outdoor themes, or as a neutral base color in interior design. Brown, Earthy, Warm, Rustic, Cozy, Neutral, Timeless, Authentic, Nature, Stable, Reliable, Grounded."
Maroon,#74231E,"A deep, rich, and earthy shade of brown-red.","Warmth, Coziness, Richness","Sturdy, Resilient, Rustic","Inviting, Comfortable, Reliable","Strength, Power, Harvest, Autumn, Grounding, Stability","Ideal for rustic or country-style designs, autumn and harvest themed decorations, masculine color schemes.","Brown, Red, Earthy, Warm, Rich, Rustic, Strong, Masculine, Cozy, Autumn, Harvest","A deep, rich, and earthy shade of brown-red. Warmth, Coziness, Richness Sturdy, Resilient, Rustic Inviting, Comfortable, Reliable Strength, Power, Harvest, Autumn, Grounding, Stability Ideal for rustic or country-style designs, autumn and harvest themed decorations, masculine color schemes. Brown, Red, Earthy, Warm, Rich, Rustic, Strong, Masculine, Cozy, Autumn, Harvest"
